run_id,paper_id,model,method,seed,timestamp,status,config_path,output_path,metrics_path,notes
BTM-2025_codegen350M_promptmit_v1_20260219_185944,BTM-2025,codegen350M,promptmit_v1,1..5,20260219_185944,completed,Codes/mitigation/configs/BTM-2025/btm_prompt_mitigation_v1.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/BTM-2025_codegen350M_promptmit_v1_20260219_185944,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/BTM-2025_codegen350M_promptmit_v1_20260219_185944/BTM-2025_codegen350M_promptmit_v1_20260219_185944_metrics.json,Pilot run for BTM-2025
BTM-2025_codegen350M_promptmit_v1_20260219_190130,BTM-2025,codegen350M,promptmit_v1,1..5,20260219_190130,completed,Codes/mitigation/configs/BTM-2025/btm_prompt_mitigation_v1.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/BTM-2025_codegen350M_promptmit_v1_20260219_190130,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/BTM-2025_codegen350M_promptmit_v1_20260219_190130/BTM-2025_codegen350M_promptmit_v1_20260219_190130_metrics.json,Pilot run for BTM-2025
BTM-2025_codegen350M_promptmit_v2_20260219_190744,BTM-2025,codegen350M,promptmit_v2,1..5,20260219_190744,completed,Codes/mitigation/configs/BTM-2025/btm_prompt_mitigation_v2.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/BTM-2025_codegen350M_promptmit_v2_20260219_190744,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/BTM-2025_codegen350M_promptmit_v2_20260219_190744/BTM-2025_codegen350M_promptmit_v2_20260219_190744_metrics.json,v2 Refinement: strict extraction + mirror
BTM-2025_codegen350M_promptmit_v3_20260219_191319,BTM-2025,codegen350M,promptmit_v3,1..5,20260219_191319,completed,Codes/mitigation/configs/BTM-2025/btm_prompt_mitigation_v3.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/BTM-2025_codegen350M_promptmit_v3_20260219_191319,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/BTM-2025_codegen350M_promptmit_v3_20260219_191319/BTM-2025_codegen350M_promptmit_v3_20260219_191319_metrics.json,v3 Refinement: relaxed constraints + robust fallbacks
BTM-2025_codegen350M_postgenast_v1_20260219_193826,BTM-2025,codegen350M,postgen_ast_v1,1..5,20260219_193826,completed,Codes/mitigation/configs/BTM-2025/btm_postgen_ast_v1.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/BTM-2025_codegen350M_postgenast_v1_20260219_193826,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/BTM-2025_codegen350M_postgenast_v1_20260219_193826/BTM-2025_codegen350M_postgenast_v1_20260219_193826_metrics.json,Post-gen AST scrub from BTM-2025_codegen350M_promptmit_v2_20260219_190744
BTM-2025_qwen1.5b_promptmit_v1_20260219_202938,BTM-2025,qwen1.5b,promptmit_v1,1..5,20260219_202938,completed,Codes/mitigation/configs/BTM-2025/btm_prompt_mitigation_qwen1.5b_v1.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/BTM-2025_qwen1.5b_promptmit_v1_20260219_202938,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/BTM-2025_qwen1.5b_promptmit_v1_20260219_202938/BTM-2025_qwen1.5b_promptmit_v1_20260219_202938_refined_metrics.json,Model Pivot: Qwen2.5-Coder-1.5B pilot
BTM-2025_qwen1.5b_promptmit_v2_20260219_205735,BTM-2025,qwen1.5b,promptmit_v2,1..5,20260219_205735,completed,Codes/mitigation/configs/BTM-2025/btm_prompt_mitigation_qwen1.5b_v2.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/BTM-2025_qwen1.5b_promptmit_v2_20260219_205735,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/BTM-2025_qwen1.5b_promptmit_v2_20260219_205735/BTM-2025_qwen1.5b_promptmit_v2_20260219_205735_refined_metrics.json,Qwen v2: Strict Anti-Placeholder Refresh
BTM-2025_qwen1.5b_postgenast_v1_20260219_210356,BTM-2025,qwen1.5b,postgen_ast_v1,1..5,20260219_210356,completed,Codes/mitigation/configs/BTM-2025/btm_postgen_qwen_v2.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/BTM-2025_qwen1.5b_postgenast_v1_20260219_210356,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/BTM-2025_qwen1.5b_postgenast_v1_20260219_210356/BTM-2025_qwen1.5b_postgenast_v1_20260219_210356_refined_metrics.json,Post-gen AST scrub from BTM-2025_qwen1.5b_promptmit_v2_20260219_205735
BTM-2025_deepseek1.3b_promptmit_v1_20260219_221830,BTM-2025,deepseek1.3b,promptmit_v1,1..5,20260219_221830,completed,Codes/mitigation/configs/BTM-2025/btm_prompt_mitigation_deepseek1.3b_v1.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/BTM-2025_deepseek1.3b_promptmit_v1_20260219_221830,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/BTM-2025_deepseek1.3b_promptmit_v1_20260219_221830/BTM-2025_deepseek1.3b_promptmit_v1_20260219_221830_refined_metrics.json,DeepSeek-Coder Pivot
BTM-2025_deepseek1.3b_postgenast_v1_20260219_223308,BTM-2025,deepseek1.3b,postgen_ast_v1,1..5,20260219_223308,completed,Codes/mitigation/configs/BTM-2025/btm_postgen_deepseek_v1.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/BTM-2025_deepseek1.3b_postgenast_v1_20260219_223308,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/BTM-2025_deepseek1.3b_postgenast_v1_20260219_223308/BTM-2025_deepseek1.3b_postgenast_v1_20260219_223308_refined_metrics.json,Post-gen AST scrub from BTM-2025_deepseek1.3b_promptmit_v1_20260219_221830
BTM-2025_deepseek1.3b_promptmit_v2_20260219_230223,BTM-2025,deepseek1.3b,promptmit_v2,1..5,20260219_230223,completed,Codes/mitigation/configs/BTM-2025/btm_prompt_mitigation_deepseek1.3b_v2.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/BTM-2025_deepseek1.3b_promptmit_v2_20260219_230223,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/BTM-2025_deepseek1.3b_promptmit_v2_20260219_230223/BTM-2025_deepseek1.3b_promptmit_v2_20260219_230223_refined_metrics.json,DeepSeek v2: Refined AI_01 prompt
BTM-2025_deepseek1.3b_postgenast_v2_20260219_231544,BTM-2025,deepseek1.3b,postgen_ast_v2,1..5,20260219_231544,completed,Codes/mitigation/configs/BTM-2025/btm_postgen_deepseek_v2.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/BTM-2025_deepseek1.3b_postgenast_v2_20260219_231544,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/BTM-2025_deepseek1.3b_postgenast_v2_20260219_231544/BTM-2025_deepseek1.3b_postgenast_v2_20260219_231544_refined_metrics.json,Post-gen AST scrub from BTM-2025_deepseek1.3b_promptmit_v2_20260219_230223
FC-2025_codegen350M_promptmit_v1_20260220_101952,FC-2025,codegen350M,promptmit_v1,1..5,20260220_101952,completed,Codes/mitigation/configs/FC-2025/fc_prompt_mitigation_codegen350M_v1.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_codegen350M_promptmit_v1_20260220_101952,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_codegen350M_promptmit_v1_20260220_101952/FC-2025_codegen350M_promptmit_v1_20260220_101952_refined_metrics.json,FC-2025 codegen350M v1
FC-2025_codegen350M_promptmit_v2_20260220_101952,FC-2025,codegen350M,promptmit_v2,1..5,20260220_101952,completed,Codes/mitigation/configs/FC-2025/fc_prompt_mitigation_codegen350M_v2.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_codegen350M_promptmit_v2_20260220_101952,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_codegen350M_promptmit_v2_20260220_101952/FC-2025_codegen350M_promptmit_v2_20260220_101952_refined_metrics.json,FC-2025 codegen350M v2
FC-2025_codegen350M_postgenast_v1_20260220_102440,FC-2025,codegen350M,postgen_ast_v1,1..5,20260220_102440,completed,Codes/mitigation/configs/FC-2025/fc_postgen_codegen350M_v1.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_codegen350M_postgenast_v1_20260220_102440,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_codegen350M_postgenast_v1_20260220_102440/FC-2025_codegen350M_postgenast_v1_20260220_102440_refined_metrics.json,Post-gen AST scrub from FC-2025_codegen350M_promptmit_v2_20260220_101952
FC-2025_qwen1.5b_promptmit_v1_20260220_102500,FC-2025,qwen1.5b,promptmit_v1,1..5,20260220_102500,completed,Codes/mitigation/configs/FC-2025/fc_prompt_mitigation_qwen1.5b_v1.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_qwen1.5b_promptmit_v1_20260220_102500,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_qwen1.5b_promptmit_v1_20260220_102500/FC-2025_qwen1.5b_promptmit_v1_20260220_102500_refined_metrics.json,FC-2025 qwen1.5b v1
FC-2025_qwen1.5b_promptmit_v2_20260220_102505,FC-2025,qwen1.5b,promptmit_v2,1..5,20260220_102505,completed,Codes/mitigation/configs/FC-2025/fc_prompt_mitigation_qwen1.5b_v2.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_qwen1.5b_promptmit_v2_20260220_102505,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_qwen1.5b_promptmit_v2_20260220_102505/FC-2025_qwen1.5b_promptmit_v2_20260220_102505_refined_metrics.json,FC-2025 qwen1.5b v2
FC-2025_qwen1.5b_postgenast_v1_20260220_103018,FC-2025,qwen1.5b,postgen_ast_v1,1..5,20260220_103018,completed,Codes/mitigation/configs/FC-2025/fc_postgen_qwen1.5b_v1.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_qwen1.5b_postgenast_v1_20260220_103018,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_qwen1.5b_postgenast_v1_20260220_103018/FC-2025_qwen1.5b_postgenast_v1_20260220_103018_refined_metrics.json,Post-gen AST scrub from FC-2025_qwen1.5b_promptmit_v2_20260220_102505
FC-2025_deepseek1.3b_promptmit_v2_20260220_103110,FC-2025,deepseek1.3b,promptmit_v2,1..5,20260220_103110,completed,Codes/mitigation/configs/FC-2025/fc_prompt_mitigation_deepseek1.3b_v2.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_deepseek1.3b_promptmit_v2_20260220_103110,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_deepseek1.3b_promptmit_v2_20260220_103110/FC-2025_deepseek1.3b_promptmit_v2_20260220_103110_refined_metrics.json,FC-2025 deepseek1.3b v2
FC-2025_deepseek1.3b_promptmit_v1_20260220_103103,FC-2025,deepseek1.3b,promptmit_v1,1..5,20260220_103103,completed,Codes/mitigation/configs/FC-2025/fc_prompt_mitigation_deepseek1.3b_v1.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_deepseek1.3b_promptmit_v1_20260220_103103,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_deepseek1.3b_promptmit_v1_20260220_103103/FC-2025_deepseek1.3b_promptmit_v1_20260220_103103_refined_metrics.json,FC-2025 deepseek1.3b v1
FC-2025_deepseek1.3b_postgenast_v1_20260220_105015,FC-2025,deepseek1.3b,postgen_ast_v1,1..5,20260220_105015,completed,Codes/mitigation/configs/FC-2025/fc_postgen_deepseek1.3b_v1.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_deepseek1.3b_postgenast_v1_20260220_105015,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_deepseek1.3b_postgenast_v1_20260220_105015/FC-2025_deepseek1.3b_postgenast_v1_20260220_105015_refined_metrics.json,Post-gen AST scrub from FC-2025_deepseek1.3b_promptmit_v2_20260220_103110
FC-2025_codegen350M_function_implementation_promptmit_v1_20260220_122157,FC-2025,codegen350M,function_implementation_promptmit_v1,1..5,20260220_122157,completed,Codes/mitigation/configs/FC-2025/function_implementation/fc_prompt_mitigation_codegen350M_v1.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_codegen350M_function_implementation_promptmit_v1_20260220_122157,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_codegen350M_function_implementation_promptmit_v1_20260220_122157/FC-2025_codegen350M_function_implementation_promptmit_v1_20260220_122157_refined_metrics.json,FC-2025 codegen350M function_implementation v1
FC-2025_codegen350M_function_implementation_promptmit_v2_20260220_122209,FC-2025,codegen350M,function_implementation_promptmit_v2,1..5,20260220_122209,completed,Codes/mitigation/configs/FC-2025/function_implementation/fc_prompt_mitigation_codegen350M_v2.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_codegen350M_function_implementation_promptmit_v2_20260220_122209,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_codegen350M_function_implementation_promptmit_v2_20260220_122209/FC-2025_codegen350M_function_implementation_promptmit_v2_20260220_122209_refined_metrics.json,FC-2025 codegen350M function_implementation v2
FC-2025_codegen350M_function_implementation_promptmit_v1_20260220_122709,FC-2025,codegen350M,function_implementation_promptmit_v1,1..5,20260220_122709,completed,Codes/mitigation/configs/FC-2025/function_implementation/fc_prompt_mitigation_codegen350M_v1.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_codegen350M_function_implementation_promptmit_v1_20260220_122709,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_codegen350M_function_implementation_promptmit_v1_20260220_122709/FC-2025_codegen350M_function_implementation_promptmit_v1_20260220_122709_refined_metrics.json,FC-2025 codegen350M function_implementation v1
FC-2025_codegen350M_function_implementation_promptmit_v2_20260220_122737,FC-2025,codegen350M,function_implementation_promptmit_v2,1..5,20260220_122737,completed,Codes/mitigation/configs/FC-2025/function_implementation/fc_prompt_mitigation_codegen350M_v2.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_codegen350M_function_implementation_promptmit_v2_20260220_122737,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_codegen350M_function_implementation_promptmit_v2_20260220_122737/FC-2025_codegen350M_function_implementation_promptmit_v2_20260220_122737_refined_metrics.json,FC-2025 codegen350M function_implementation v2
FC-2025_codegen350M_test_case_generation_promptmit_v1_20260220_122958,FC-2025,codegen350M,test_case_generation_promptmit_v1,1..5,20260220_122958,completed,Codes/mitigation/configs/FC-2025/test_case_generation/fc_prompt_mitigation_codegen350M_v1.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_codegen350M_test_case_generation_promptmit_v1_20260220_122958,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_codegen350M_test_case_generation_promptmit_v1_20260220_122958/FC-2025_codegen350M_test_case_generation_promptmit_v1_20260220_122958_refined_metrics.json,FC-2025 codegen350M test_case_generation v1
FC-2025_codegen350M_test_case_generation_promptmit_v2_20260220_123043,FC-2025,codegen350M,test_case_generation_promptmit_v2,1..5,20260220_123043,completed,Codes/mitigation/configs/FC-2025/test_case_generation/fc_prompt_mitigation_codegen350M_v2.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_codegen350M_test_case_generation_promptmit_v2_20260220_123043,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_codegen350M_test_case_generation_promptmit_v2_20260220_123043/FC-2025_codegen350M_test_case_generation_promptmit_v2_20260220_123043_refined_metrics.json,FC-2025 codegen350M test_case_generation v2
FC-2025_codegen350M_function_implementation_postgenast_v1_20260220_123352,FC-2025,codegen350M,function_implementation_postgenast_v1,1..5,20260220_123352,completed,Codes/mitigation/configs/FC-2025/function_implementation/fc_postgen_codegen350M_v1.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_codegen350M_function_implementation_postgenast_v1_20260220_123352,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_codegen350M_function_implementation_postgenast_v1_20260220_123352/FC-2025_codegen350M_function_implementation_postgenast_v1_20260220_123352_refined_metrics.json,Post-gen AST scrub from FC-2025_codegen350M_function_implementation_promptmit_v2_20260220_122737
FC-2025_codegen350M_test_case_generation_postgenast_v1_20260220_123353,FC-2025,codegen350M,test_case_generation_postgenast_v1,1..5,20260220_123353,completed,Codes/mitigation/configs/FC-2025/test_case_generation/fc_postgen_codegen350M_v1.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_codegen350M_test_case_generation_postgenast_v1_20260220_123353,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_codegen350M_test_case_generation_postgenast_v1_20260220_123353/FC-2025_codegen350M_test_case_generation_postgenast_v1_20260220_123353_refined_metrics.json,Post-gen AST scrub from FC-2025_codegen350M_test_case_generation_promptmit_v2_20260220_123043
FC-2025_qwen1.5b_function_implementation_promptmit_v1_20260220_123420,FC-2025,qwen1.5b,function_implementation_promptmit_v1,1..5,20260220_123420,completed,Codes/mitigation/configs/FC-2025/function_implementation/fc_prompt_mitigation_qwen1.5b_v1.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_qwen1.5b_function_implementation_promptmit_v1_20260220_123420,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_qwen1.5b_function_implementation_promptmit_v1_20260220_123420/FC-2025_qwen1.5b_function_implementation_promptmit_v1_20260220_123420_refined_metrics.json,FC-2025 qwen1.5b function_implementation v1
FC-2025_qwen1.5b_function_implementation_promptmit_v2_20260220_123424,FC-2025,qwen1.5b,function_implementation_promptmit_v2,1..5,20260220_123424,completed,Codes/mitigation/configs/FC-2025/function_implementation/fc_prompt_mitigation_qwen1.5b_v2.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_qwen1.5b_function_implementation_promptmit_v2_20260220_123424,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_qwen1.5b_function_implementation_promptmit_v2_20260220_123424/FC-2025_qwen1.5b_function_implementation_promptmit_v2_20260220_123424_refined_metrics.json,FC-2025 qwen1.5b function_implementation v2
FC-2025_qwen1.5b_function_implementation_promptmit_v1_20260220_125023,FC-2025,qwen1.5b,function_implementation_promptmit_v1,1..5,20260220_125023,completed,Codes/mitigation/configs/FC-2025/function_implementation/fc_prompt_mitigation_qwen1.5b_v1.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_qwen1.5b_function_implementation_promptmit_v1_20260220_125023,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_qwen1.5b_function_implementation_promptmit_v1_20260220_125023/FC-2025_qwen1.5b_function_implementation_promptmit_v1_20260220_125023_refined_metrics.json,FC-2025 qwen1.5b function_implementation v1
FC-2025_qwen1.5b_function_implementation_promptmit_v2_20260220_125020,FC-2025,qwen1.5b,function_implementation_promptmit_v2,1..5,20260220_125020,completed,Codes/mitigation/configs/FC-2025/function_implementation/fc_prompt_mitigation_qwen1.5b_v2.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_qwen1.5b_function_implementation_promptmit_v2_20260220_125020,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_qwen1.5b_function_implementation_promptmit_v2_20260220_125020/FC-2025_qwen1.5b_function_implementation_promptmit_v2_20260220_125020_refined_metrics.json,FC-2025 qwen1.5b function_implementation v2
FC-2025_qwen1.5b_test_case_generation_promptmit_v1_20260220_125142,FC-2025,qwen1.5b,test_case_generation_promptmit_v1,1..5,20260220_125142,completed,Codes/mitigation/configs/FC-2025/test_case_generation/fc_prompt_mitigation_qwen1.5b_v1.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_qwen1.5b_test_case_generation_promptmit_v1_20260220_125142,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_qwen1.5b_test_case_generation_promptmit_v1_20260220_125142/FC-2025_qwen1.5b_test_case_generation_promptmit_v1_20260220_125142_refined_metrics.json,FC-2025 qwen1.5b test_case_generation v1
FC-2025_qwen1.5b_test_case_generation_promptmit_v2_20260220_125204,FC-2025,qwen1.5b,test_case_generation_promptmit_v2,1..5,20260220_125204,completed,Codes/mitigation/configs/FC-2025/test_case_generation/fc_prompt_mitigation_qwen1.5b_v2.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_qwen1.5b_test_case_generation_promptmit_v2_20260220_125204,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_qwen1.5b_test_case_generation_promptmit_v2_20260220_125204/FC-2025_qwen1.5b_test_case_generation_promptmit_v2_20260220_125204_refined_metrics.json,FC-2025 qwen1.5b test_case_generation v2
